_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
645268b78723e138c4c950d6,,57.18,90,66.78,68.66,143;9;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683122359000
645268958723e138c4c94eef,,50.38,89.68,59.58,55.33,126;7;0;2,time,30,-1,3,30.01,0,9.43,false,false,english,none,normal,false,false,false,,1683122325000
645268588723e138c4c94b7f,,56,89.09,65.2,70.4,140;11;2;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683122264000
645268378723e138c4c94990,,57.2,95.33,57.2,69.89,143;0;0;0,time,30,-1,1,30,0,0.78,false,false,english,none,normal,false,false,false,,1683122231000
645268128723e138c4c9476f,,46.38,90.54,58.78,66.12,116;7;1;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683122194000
645267ea8723e138c4c94526,,48.4,90.07,60,70.32,121;8;1;0,time,30,-1,1,30,0,1.42,false,false,english,none,normal,false,false,false,,1683122154000
645267c08723e138c4c942d6,,58.78,94.41,61.58,63.85,147;2;0;0,time,30,-1,1,30.01,0,1.77,false,false,english,none,normal,false,false,false,,1683122112000
64525b788723e138c4b622cc,,44.79,88.81,52.38,55.74,112;9;0;4,time,30,-1,1,30.01,1,15.25,false,false,english,none,normal,false,false,false,,1683118968000
64525b138723e138c4b61e18,,52.99,95.41,54.39,68.54,265;1;0;1,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1683118867000
64525ab08723e138c4afedac,,53.39,91.64,54.79,66.33,267;3;0;1,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1683118768000
645259ee8723e138c4afe49d,,43.8,90.61,44.8,60.97,219;2;0;0,time,60,-1,0,60,0,0,false,false,english,none,normal,false,false,false,,1683118574000
645138938b42543b37bb9c22,true,56.19,93.02,60.99,69.56,281;8;0;1,time,60,-1,3,60.01,0,1.74,false,false,english,none,normal,false,false,false,,1683044499000
6451383e8b42543b37bb972b,,48.99,88.65,50.79,56.9,245;4;0;1,time,60,-1,1,60.01,0,2.51,false,false,english,none,normal,false,false,false,,1683044414000
645137e68b42543b37bb91f4,,65.18,98.79,65.18,70.78,163;0;0;0,time,30,-1,0,30.01,1,0,false,false,english,none,normal,false,false,false,,1683044326000
645137c48b42543b37bb8fe4,,52.4,89.1,58.8,67.67,131;7;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683044292000
6451378d8b42543b37bb8cca,,55.98,94.67,57.98,59.69,140;2;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683044237000
645137368b42543b37bb87c4,,52.38,93.1,52.38,55.65,131;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683044150000
645137148b42543b37bb85e2,,46.78,90.98,48.78,66.21,117;3;0;0,time,30,-1,1,30.01,0,0.95,false,false,english,none,normal,false,false,false,,1683044116000
645136f08b42543b37b55a1d,,49.58,94.2,51.58,64.25,124;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683044080000
645102018b42543b3756288e,,46.4,93.55,46.4,55.12,116;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683030529000
645101de8b42543b37562709,,49.6,92.59,49.6,63.38,124;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683030494000
6450b3b88b42543b37cc44b3,,49.6,94.66,49.6,61.93,124;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1683010488000
6450b3988b42543b37cc43a9,,35.99,86.55,44.79,65.88,90;5;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683010456000
6450b3768b42543b37cc42ac,,44.79,95.2,49.18,72.93,112;3;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683010422000
6450b3508b42543b37cc4175,,50,90.85,58.8,70.77,125;4;0;2,time,30,-1,1,30,1,6.39,false,false,english,none,normal,false,false,false,,1683010384000
6450b3268b42543b37cc403b,,58,87.43,62.4,69.7,145;6;2;1,time,30,-1,1,30,0,0.82,false,false,english,none,normal,false,false,false,,1683010342000
6450b2e48b42543b37cc3e60,,57.98,92.41,57.98,70.61,145;0;0;0,time,30,-1,1,30.01,0,0.47,false,false,english,none,normal,false,false,false,,1683010276000
6450b2b48b42543b37cc3d06,,46.38,86.45,57.18,66.08,116;6;1;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1683010228000
64506c1c8b42543b374f2006,,48.78,97.6,48.78,72.93,122;0;0;0,time,30,-1,2,30.01,0,2.81,false,false,english,none,normal,false,false,false,,1682992156000
